"","","","Misc.","","FDF3DD7C-E7D9-4C48-840A-4447BD704DDE","7DB2166D-3758-3C44-9E06-FC346998B154","Cable Ramp","0","3/24/2015 1:04:27 AM","","","F8116F44-E3E8-0C47-87D2-19E31CBCCC3A","0","30",""
"Deck","","","Staging","","FDF3DD7C-E7D9-4C48-840A-4447BD704DDE","B9BE5966-42C5-0844-8493-F1E309B9A888","Stage Deck 4' x 8'","0","3/24/2015 1:04:28 AM","","","05B82C1E-F666-2D45-9E37-98A63DAF97B5","20","5",""
"Legs","","","Staging","","FDF3DD7C-E7D9-4C48-840A-4447BD704DDE","33B977F3-9722-8C49-A623-CC9A752C2F97","Legs 16""","0","3/24/2015 1:04:28 AM","","","5AFD45D8-2455-7144-A148-194D7C9CE708","0","20",""
"Tools","","","Staging","","FDF3DD7C-E7D9-4C48-840A-4447BD704DDE","1F212899-EECE-DF4F-887D-228263B64876","Large Staging Key","0","3/24/2015 1:04:29 AM","","","A72D7C73-2F1F-2241-8106-A11A358E03EE","0","1",""
"Steps","","","Staging","","FDF3DD7C-E7D9-4C48-840A-4447BD704DDE","FED41FE9-5B03-7942-8781-ED2C342BBA94","Short Steps","0","3/24/2015 1:04:30 AM","","","A15B4AE7-5E04-5247-BF7D-4A2D7E417E40","90","2",""
"Shims","","","Misc.","","FDF3DD7C-E7D9-4C48-840A-4447BD704DDE","F055E648-36CB-C74A-96E6-0006CFEEBD79","Shim (by case)","0","3/24/2015 1:04:30 AM","","","DAECD814-FB5A-964A-82CE-CF2B5D8167C8","0","4",""
"","","","","","0","0","TR-116 Cube","0","3/24/2015 12:54:03 AM","","","D856E9E9-9276-8446-81D4-EB2E21900B77","","",""
"","","","","","0","0","TR-116 Cube","0","3/24/2015 12:54:03 AM","","","A11383F5-718E-A242-95AC-E50D8CA3AB84","","",""
"Lights","","","Lighting","","B1AD128C-8BDE-2F47-9601-D23F22C2DD7B","0910FB58-27EF-874B-BBA5-8A7E3B53ABB8","Torrent F5's","0","3/24/2015 1:04:32 AM","","","81439670-883F-3247-AC9F-A078A8A416B4","60","6","Moving"
"Truss","","","Rigging","","FDF3DD7C-E7D9-4C48-840A-4447BD704DDE","49E3F2A3-D7EC-3644-993C-2697214FA4B6","3x3 Base Plate","0","3/24/2015 1:04:32 AM","","","C7D7E158-7B88-5B46-8C06-7DFE590D6053","25","4","Bases"
"","","","Extra","","FDF3DD7C-E7D9-4C48-840A-4447BD704DDE","0","Plastic Wrapped Truss","0","3/24/2015 12:57:36 AM","","","6B47DD19-18B2-9A47-A532-7DBF3D5F0286","","4",""
"Truss","","","Rigging","","FDF3DD7C-E7D9-4C48-840A-4447BD704DDE","CB3771F9-1C24-AB4E-BDC7-B8C2583D0FE3","Top Plate","0","3/24/2015 1:04:34 AM","","","102A65A6-30A9-6240-93D3-DD38CEFBFD96","15","4","Bases"
"","","","Extra","","FDF3DD7C-E7D9-4C48-840A-4447BD704DDE","0","Sand Bag - vinyl ","0","3/24/2015 12:57:37 AM","","","EF693155-B592-B54E-B0B9-CE3CF3A62FF4","","8",""
"","","","Extra","","FDF3DD7C-E7D9-4C48-840A-4447BD704DDE","0","Fatigue Mats","0","6/8/2016 12:01:24 PM","","","3643E8CF-6D1F-9B4E-99A0-C067B86A11ED","","",""
"","","","Lighting","","B1AD128C-8BDE-2F47-9601-D23F22C2DD7B","0","LED 3 Bars","0","3/24/2015 12:57:38 AM","","","F6C3DC47-893F-E74F-AFD9-D76C81B7622D","0","3",""
"Power","","","Cabling","","B1AD128C-8BDE-2F47-9601-D23F22C2DD7B","1A67960D-9CBB-104A-94B0-B6128162CAF1","California > Camlock","0","3/24/2015 1:04:36 AM","","","AD256483-AD7F-9F43-9A32-49AD45A477CB","0","1","Adapters"
"","","","Lighting","","74CA09CD-A9D1-A440-BF3D-88066C8C1E67","0","Freestyle V12","0","3/24/2015 12:57:39 AM","","","309E88EF-4020-0B43-A609-D449BF361AAB","0","12",""
"LED","","","Lighting","","74CA09CD-A9D1-A440-BF3D-88066C8C1E67","5DEBB166-4439-6B4C-8B33-6E3034BFEF8C","Toughsticks - Large","0","3/24/2015 1:04:37 AM","","","26C1FFE9-CEB3-D44D-A5D9-E1674ABC53B2","0","8",""
"LED","","","Lighting","","74CA09CD-A9D1-A440-BF3D-88066C8C1E67","9EAA023A-B35D-D14E-9C54-C4D9399DBD52","Toughsticks - Short","0","3/24/2015 1:04:38 AM","","","E5A1B1F6-6A1F-3145-8EDB-213B815863E0","0","6",""
"LED","","","Lighting","","74CA09CD-A9D1-A440-BF3D-88066C8C1E67","F5740FF3-FF44-A64C-82C0-5950576DF3C8","V12's","0","3/24/2015 1:04:38 AM","","","568B7093-720E-3C43-813B-61B1FF6A0822","0","12",""
"Power","","","Cabling","","74CA09CD-A9D1-A440-BF3D-88066C8C1E67","E2F5996B-A99B-F142-B305-074D7B24B14F","Feeder 100'","0","3/24/2015 1:04:39 AM","","","17559F24-7FB7-464B-A8AA-437522DDB0B0","0","1","Feeder"
"Power","","","Cabling","","74CA09CD-A9D1-A440-BF3D-88066C8C1E67","928B097B-65B5-6449-8A33-C3788CD5C57F","Feeder 50'","0","3/24/2015 1:04:39 AM","","","F3718AC9-42A4-8042-912C-3B167474089F","0","2","Feeder"
"","","","Extra","","74CA09CD-A9D1-A440-BF3D-88066C8C1E67","0","Rugs","0","6/8/2016 12:01:31 PM","","","35A796DE-E2BA-C845-905B-A5702B9D9ECB","","",""
"","","","Cabling","","74CA09CD-A9D1-A440-BF3D-88066C8C1E67","0","50' 4 ch Edison Whips","0","6/8/2016 12:01:34 PM","","","F3FF8A84-CB9A-704D-96C1-8D5EBB9F4EA7","","",""
"","","","Cabling","","74CA09CD-A9D1-A440-BF3D-88066C8C1E67","0","30A Adapter","0","3/24/2015 12:57:44 AM","","","5A2A398F-F50D-6A44-8919-1B1CEBAAAD81","","1",""
